key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
family	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9036	0.0	100
family	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.8703	0.0	100
family	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9036	0.0	100
family	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.857	0.0	100
family	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.7029	0.0	100
family	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.7902	0.0	100
family	GSE247339.2	whole cortex	scvi_knn	0.7511	0.0	100
family	GSE247339.2	whole cortex	scvi_rf	0.6937	0.0	100
family	GSE247339.2	whole cortex	seurat	0.6343	0.0	100
global	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9637	0.0	100
global	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9546	0.0	100
global	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9953	0.0	100
global	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9634	0.0	100
global	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9582	0.0	100
global	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9974	0.0	100
global	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9507	0.0	100
global	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.9461	0.0	100
global	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9958	0.0	100
global	GSE124952	whole cortex	scvi_knn	0.9726	0.0	100
global	GSE124952	whole cortex	scvi_rf	0.9769	0.0	100
global	GSE124952	whole cortex	seurat	0.927	0.0	100
global	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.91	0.0	100
global	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9204	0.0	100
global	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9808	0.0	100
global	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9836	0.0	100
global	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9822	0.0	100
global	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	1.0	0.0	100
global	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9826	0.0	100
global	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8934	0.0	100
global	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	1.0	0.0	100
global	GSE181021.2	whole cortex	scvi_knn	0.987	0.0	100
global	GSE181021.2	whole cortex	scvi_rf	0.9726	0.0	100
global	GSE181021.2	whole cortex	seurat	0.9505	0.0	100
global	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9862	0.0	100
global	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9716	0.0	100
global	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9922	0.0	100
global	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9889	0.0	100
global	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9846	0.0	100
global	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9815	0.0	100
global	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9846	0.0	100
global	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.9343	0.0	100
global	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9966	0.0	100
global	GSE185454	whole cortex	scvi_knn	0.9889	0.0	100
global	GSE185454	whole cortex	scvi_rf	0.983	0.0	100
global	GSE185454	whole cortex	seurat	0.9751	0.0	100
global	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9923	0.0	100
global	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9898	0.0	100
global	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9948	0.0	100
global	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9872	0.0	100
global	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9949	0.0	100
global	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	1.0	0.0	100
global	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.982	0.0	100
global	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	1.0	0.0	100
global	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9948	0.0	100
global	GSE199460.2	whole cortex	scvi_knn	0.9898	0.0	100
global	GSE199460.2	whole cortex	scvi_rf	0.9975	0.0	100
global	GSE199460.2	whole cortex	seurat	1.0	0.0	100
global	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9622	0.0	100
global	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9589	0.0	100
global	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9726	0.0	100
