"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.841544744363145	0.0151485528612663	Inf	1	-9.58375457192939	6.16173778666962e-14	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.23805014405704	0.0219892506447564	Inf	1	12.0227085813372	0	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.762620087413018	0.0137625932024089	Inf	1	-15.0165342848575	0	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.738282544650718	0.0112394731866391	Inf	1	-19.9311917191141	0	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.555397948253439	0.00992993640344861	Inf	1	-32.8917607697754	0	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.601788025109874	0.0106711213333316	Inf	1	-28.6397321418208	0	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.885328743563015	0.0154753470964929	Inf	1	-6.96783811082458	9.01489993765381e-11	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.545349061220396	0.00969779351996591	Inf	1	-34.0965256480441	0	"subclass"
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.752283732397057	0.013565023215469	Inf	1	-15.785548905987	0	"subclass"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.815118858586288	0.0145812282045728	Inf	1	-11.4275481497534	0	"subclass"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.19917333814504	0.0211596919405035	Inf	1	10.2935701255344	8.30446822419617e-14	"subclass"
"whole cortex seurat / whole cortex scvi"	0.738672565363714	0.0132477001265426	Inf	1	-16.8892949357905	0	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.08352583404803	0.0176255607663403	Inf	1	4.93152306246751	2.24241832355032e-05	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.59404395775517	0.0257759405246861	Inf	1	28.8354755439129	0	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.981906870443719	0.0158950086825278	Inf	1	-1.12792972007945	0.950867087085391	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.47116377631704	0.0235932199804239	Inf	1	24.0725227738636	0	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	0.906214544765705	0.0145566389840488	Inf	1	-6.13076139414367	2.4445721336086e-08	"subclass"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.615984813760404	0.0098395167119286	Inf	1	-30.3332937223991	0	"subclass"
